gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD16A,1321.195616,0.151033734,0.156632107,0.964257819,0.334916683,0.750164253
ABHD16B,5.806999633,-0.337857412,0.704220714,-0.479760685,0.631397572,NA
ABHD17A,169.4321972,-0.228277422,0.187064545,-1.220313668,0.22234599,0.662536743
ABHD17B,19.75917889,1.142503492,0.4440361,2.57299686,0.010082212,NA
ABHD17C,7.423820992,1.042279758,0.595101146,1.751432952,0.079871361,NA
ABHD18,74.08183278,0.081747906,0.254727863,0.320922513,0.748269113,0.93398412
ABHD2,3388.091191,-0.257713356,0.22969961,-1.121958176,0.261880223,0.692894297
ABHD3,44.48471929,0.271578783,0.253174078,1.07269585,0.283407603,NA
ABHD4,568.6239252,-0.045563215,0.186126088,-0.244797576,0.806613171,0.951954779
ABHD5,290.2945483,0.093971846,0.222584566,0.422184917,0.67289005,0.909416099
ABHD6,96.33652459,0.208490253,0.262030672,0.795671175,0.426223185,0.803286967
ABHD8,451.9734071,-0.011765737,0.160097871,-0.073490899,0.941415486,0.984680447
ABI1,749.2745147,0.378817782,0.149811767,2.528625025,0.011451029,0.300082405
ABI2,38.43943968,-0.023511389,0.302150922,-0.077813393,0.937976492,NA
ABI3,409.0593961,-0.02118987,0.232529648,-0.091127603,0.9273912,0.980401592
ABITRAM,172.6894545,0.51292224,0.218456028,2.347942719,0.018877424,0.329797589
ABL1,43.03827584,-0.401710597,0.259673055,-1.546986063,0.121866606,NA
ABL2,161.840666,-0.14420319,0.193566843,-0.744978775,0.456284551,0.817846631
ABLIM2,4.978884938,-0.77947373,0.659863779,-1.18126461,0.237497622,NA
ABLIM3,12.61902624,-0.244520517,0.376114386,-0.650122745,0.515612939,NA
ABR,1499.52968,-0.28332469,0.161001715,-1.759761937,0.078448179,0.490809482
ABRACL,299.9675219,0.239613261,0.249490908,0.96040879,0.336849516,0.751415814
ABRAXAS1,97.00267622,0.352798217,0.145175472,2.430150303,0.015092563,0.311101545
ABRAXAS2,116.2787483,0.096715289,0.231110063,0.418481513,0.6755951,0.910722849
ABT1,112.5883998,0.042166528,0.233309828,0.180731897,0.856578021,0.962313021
ABTB1,42281.65799,-0.003417516,0.208024474,-0.01642843,0.986892599,0.996891951
