gene,ensembl id,log2FoldChange,lfcSE,stat,pvalue,padj
FOXP3,,-0.308328929,0.10174116,-3.030523039,0.002441306,0.476289023
LOC103680323,,-0.432050027,0.14273009,-3.027042348,0.002469594,0.476289023
LOC121104917,,0.559586054,0.184608225,3.031208682,0.002435768,0.476289023
NDUFC1,,0.543220416,0.179502416,3.02625684,0.002476019,0.476289023
RAI1,,-0.890954647,0.293887423,-3.031618837,0.002432461,0.476289023
ZNF577,,0.519074797,0.170813111,3.03884634,0.00237486,0.476289023
BCL2A1,,0.405656535,0.135172508,3.001028388,0.002690695,0.487915955
GNG5,,0.256232695,0.085279099,3.0046365,0.002658984,0.487915955
LOC121100975,,0.509579511,0.169110945,3.013285223,0.002584359,0.487915955
LOC121101699,,-1.317638566,0.439106405,-3.000727276,0.002693357,0.487915955
SKI,,1.280594809,0.426051327,3.005728952,0.002649451,0.487915955
WDR19,,0.405387587,0.134906608,3.004949808,0.002656247,0.487915955
PRKCQ,,-0.233498845,0.078277062,-2.982979175,0.002854574,0.512149033
ADHFE1,,-0.917588589,0.308372948,-2.975580685,0.002924344,0.514767329
POM121C,,-0.26495896,0.08900767,-2.976810434,0.00291264,0.514767329
DNAJC13,,0.258992145,0.087346252,2.965120301,0.003025646,0.527621741
MOV10,,-0.253335635,0.08558063,-2.960198288,0.003074411,0.531161423
MED21,,0.459967271,0.155955607,2.949347439,0.003184458,0.545126542
BICD2,,-0.143403403,0.048852232,-2.935452441,0.003330617,0.549964387
KNCN,,0.535715049,0.182382825,2.937310843,0.003310721,0.549964387
LOC121100976,,-0.766942519,0.261217969,-2.936025126,0.003324474,0.549964387
SHROOM4,,-0.629629396,0.21427455,-2.938423603,0.00329886,0.549964387
LOC121103329,,0.803466816,0.274090089,2.93139682,0.003374414,0.552308757
CAPN10,,-0.220621086,0.075675581,-2.915353712,0.003552856,0.571489177
CCDC179,,1.7107292,0.586632234,2.916186837,0.003543382,0.571489177
MMP27,,1.028848642,0.353341694,2.911766883,0.003593907,0.573151441
F8,,-0.854710716,0.294701293,-2.900261162,0.003728519,0.583164523
SCARB2,,0.277369939,0.095589325,2.90168322,0.003711637,0.583164523
SEMA6B,,0.894279801,0.308540228,2.898422057,0.003750455,0.583164523
LOC103676264,,1.167601549,0.403746529,2.891917247,0.003828988,0.590455243
CD4,,-0.380337682,0.13184792,-2.884669558,0.003918247,0.592246748
LOC103660212,,0.670815362,0.232658661,2.883259785,0.003935827,0.592246748
